model,lambda_ss,time,mean_front_distance
hub,0.8000,8,10.505629
hub,0.8000,9,10.569406
hub,0.8000,10,10.574865
hub,0.8000,11,10.575202
hub,0.8000,12,10.575202
hub,0.8000,13,10.575202
hub,0.8000,14,10.575202
hub,0.8000,15,10.575202
hub,0.8000,16,10.575202
hub,0.8000,17,10.575202
hub,0.8000,18,10.575202
hub,0.8000,19,10.575202
hub,0.8000,20,10.575202
hub,0.8000,21,10.575202
hub,0.8000,22,10.575202
hub,0.8000,23,10.575202
hub,0.8000,24,10.575202
hub,0.8000,25,10.575202
hub,0.8000,26,10.575202
hub,0.8000,27,10.575202
hub,0.8000,28,10.575202
hub,0.8000,29,10.575202
hub,0.8000,30,10.575202
hub,0.8000,31,10.575202
hub,0.8000,32,10.575202
hub,0.8000,33,10.575202
hub,0.8000,34,10.575202
hub,0.8000,35,10.575202
hub,0.8000,36,10.575202
hub,0.8000,37,10.575202
hub,0.8000,38,10.575202
hub,0.8000,39,10.575202
hub,0.8000,40,10.575202
hub,0.8000,41,10.575202
hub,0.8000,42,10.575202
hub,0.8000,43,10.575202
hub,0.8000,44,10.575202
hub,0.8000,45,10.575202
hub,0.8000,46,10.575202
hub,0.8000,47,10.575202
hub,0.8000,48,10.575202
hub,0.8000,49,10.575202
hub,0.8000,50,10.575202
hub,0.8000,51,10.575202
hub,0.8000,52,10.575202
hub,0.8000,53,10.575202
hub,0.8000,54,10.575202
hub,0.8000,55,10.575202
hub,0.8000,56,10.575202
hub,0.8000,57,10.575202
hub,0.8000,58,10.575202
hub,0.8000,59,10.575202
hub,0.8000,60,10.575202
hub,0.8000,61,10.575202
hub,0.8000,62,10.575202
hub,0.8000,63,10.575202
hub,0.8000,64,10.575202
hub,0.8000,65,10.575202
hub,0.8000,66,10.575202
hub,0.8000,67,10.575202
hub,0.8000,68,10.575202
hub,0.8000,69,10.575202
hub,0.8000,70,10.575202
hub,0.8000,71,10.575202
hub,0.8000,72,10.575202
hub,0.8000,73,10.575202
hub,0.8000,74,10.575202
hub,0.8000,75,10.575202
hub,0.8000,76,10.575202
hub,0.8000,77,10.575202
hub,0.8000,78,10.575202
hub,0.8000,79,10.575202
hub,0.8000,80,10.575202
hub,0.8000,81,10.575202
hub,0.8000,82,10.575202
hub,0.8000,83,10.575202
hub,0.8000,84,10.575202
hub,0.8000,85,10.575202
hub,0.8000,86,10.575202
hub,0.8000,87,10.575202
hub,0.8000,88,10.575202
hub,0.8000,89,10.575202
hub,0.8000,90,10.575202
hub,0.8000,91,10.575202
hub,0.8000,92,10.575202
hub,0.8000,93,10.575202
hub,0.8000,94,10.575202
hub,0.8000,95,10.575202
hub,0.8000,96,10.575202
hub,0.8000,97,10.575202
hub,0.8000,98,10.575202
hub,0.8000,99,10.575202
hub,0.8000,100,10.575202
hub,0.8000,101,10.575202
hub,0.8000,102,10.575202
hub,0.8000,103,10.575202
hub,0.8000,104,10.575202
hub,0.8000,105,10.575202
hub,0.8000,106,10.575202
hub,0.8000,107,10.575202
hub,0.8000,108,10.575202
hub,0.8000,109,10.575202
hub,0.8000,110,10.575202
hub,0.8000,111,10.575202
hub,0.8000,112,10.575202
hub,0.8000,113,10.575202
hub,0.8000,114,10.575202
hub,0.8000,115,10.575202
hub,0.8000,116,10.575202
hub,0.8000,117,10.575202
hub,0.8000,118,10.575202
hub,0.8000,119,10.575202
hub,0.8000,120,10.575202
hub,0.8000,121,10.575202
