model,lambda_ss,reproduction_factor,critical_R0,normalized_critical_density
hub,0.875000,0.895833333333,3.200000,3.572093
strong,0.880000,0.900000000000,4.500000,5.000000
hub,0.880000,0.900000000000,3.200000,3.555556
strong,0.885000,0.904166666667,4.500000,4.976959
hub,0.885000,0.904166666667,3.200000,3.539171
strong,0.890000,0.908333333333,4.500000,4.954128
hub,0.890000,0.908333333333,3.200000,3.522936
strong,0.895000,0.912500000000,4.500000,4.931507
hub,0.895000,0.912500000000,3.200000,3.506849
strong,0.900000,0.916666666667,4.500000,4.909091
hub,0.900000,0.916666666667,3.200000,3.490909
strong,0.905000,0.920833333333,4.500000,4.886878
hub,0.905000,0.920833333333,3.200000,3.475113
strong,0.910000,0.925000000000,4.500000,4.864865
hub,0.910000,0.925000000000,3.200000,3.459459
strong,0.915000,0.929166666667,4.500000,4.843049
hub,0.915000,0.929166666667,3.200000,3.443946
strong,0.920000,0.933333333333,4.500000,4.821429
hub,0.920000,0.933333333333,3.200000,3.428571
strong,0.925000,0.937500000000,4.500000,4.800000
hub,0.925000,0.937500000000,3.200000,3.413333
strong,0.930000,0.941666666667,4.500000,4.778761
hub,0.930000,0.941666666667,3.200000,3.398230
strong,0.935000,0.945833333333,4.500000,4.757709
hub,0.935000,0.945833333333,3.200000,3.383260
strong,0.940000,0.950000000000,4.500000,4.736842
hub,0.940000,0.950000000000,3.200000,3.368421
strong,0.945000,0.954166666667,4.500000,4.716157
hub,0.945000,0.954166666667,3.200000,3.353712
strong,0.950000,0.958333333333,4.500000,4.695652
hub,0.950000,0.958333333333,3.200000,3.339130
strong,0.955000,0.962500000000,4.500000,4.675325
hub,0.955000,0.962500000000,3.200000,3.324675
strong,0.960000,0.966666666667,4.500000,4.655172
hub,0.960000,0.966666666667,3.200000,3.310345
strong,0.965000,0.970833333333,4.500000,4.635193
hub,0.965000,0.970833333333,3.200000,3.296137
strong,0.970000,0.975000000000,4.500000,4.615385
hub,0.970000,0.975000000000,3.200000,3.282051
strong,0.975000,0.979166666667,4.500000,4.595745
hub,0.975000,0.979166666667,3.200000,3.268085
strong,0.980000,0.983333333333,4.500000,4.576271
hub,0.980000,0.983333333333,3.200000,3.254237
strong,0.985000,0.987500000000,4.500000,4.556962
hub,0.985000,0.987500000000,3.200000,3.240506
strong,0.990000,0.991666666667,4.500000,4.537815
hub,0.990000,0.991666666667,3.200000,3.226891
strong,0.995000,0.995833333333,4.500000,4.518828
hub,0.995000,0.995833333333,3.200000,3.213389
strong,1.000000,1.000000000000,4.500000,4.500000
hub,1.000000,1.000000000000,3.200000,3.200000
